Number,Title,Abstract,Keywords
1,Machine learning-based image processing for on-line defect recognition in additive manufacturing,"A machine learning approach for on-line fault recognition via automatic image processing is developed to timely identify material defects due to process non-conformities in Selective Laser Melting (SLM) of metal powders. In-process images acquired during the layer-by-layer SLM processing are analyzed via a bi-stream Deep Convolutional Neural Network-based model, and the recognition of SLM defective condition-related pattern is achieved by automated image feature learning and feature fusion. Experimental evaluations confirmed the effectiveness of the machine learning method for on-line detection of defects due to process non-conformities, providing the basis for adaptive SLM process control and part quality assurance.",Machine learning Additive manufacturing Fault recognition
2,Automated inspection in robotic additive manufacturing using deep learning for layer deformation detection,Automated inspection in robotic additive manufacturing using deep learning for layer deformation detection,Deep learning Semantic segmentation Automated inspection Material extrusion
3,Automated Process Monitoring in 3D Printing Using Supervised Machine Learning,"Quality monitoring is still a big challenge in additive manufacturing, popularly known as 3D printing. Detection of defects during the printing process will help eliminate waste of material and time. Defect detection during the initial stages of printing may generate an alert to either pause or stop the printing process so that corrective measures can be taken to prevent the need to reprint the parts. This paper proposes a method to automatically assess the quality of 3D printed parts with the integration of a camera, image processing, and supervised machine learning. Images of semi-finished parts are taken at several critical stages of the printing process according to the part geometry. A machine learning method, support vector machine (SVM), is proposed to classify the parts into either ‘good’ or ‘defective’ category. Parts using ABS and PLA materials were printed to demonstrate the proposed framework. A numerical example is provided to demonstrate how the proposed method works.",3D printing Image processing Supervised machine learning SVM
4,Application of supervised machine learning for defect detection during metallic powder bed fusion additive manufacturing using high resolution imaging.,"Process monitoring in additive manufacturing (AM) is a crucial component in the mission of broadening AM industrialization. However, conventional part evaluation and qualification techniques, such as computed tomography (CT), can only be utilized after the build is complete, and thus eliminate any potential to correct defects during the build process. In contrast to post-build CT, in situ defect detection based on in situ sensing, such as layerwise visual inspection, enables the potential for in-process re-melting and correction of detected defects and thus facilitates in-process part qualification. This paper describes the development and implementation of such an in situ defect detection strategy for powder bed fusion (PBF) AM using supervised machine learning. During the build process, multiple images were collected at each build layer using a high resolution digital single-lens reflex (DSLR) camera. For each neighborhood in the resulting layerwise image stack, multi-dimensional visual features were extracted and evaluated using binary classification techniques, i.e. a linear support vector machine (SVM). Through binary classification, neighborhoods are then categorized as either a flaw, i.e. an undesirable interruption in the typical structure of the material, or a nominal build condition. Ground truth labels, i.e. the true location of flaws and nominal build areas, which are needed to train the binary classifiers, were obtained from post-build high-resolution 3D CT scan data. In CT scans, discontinuities, e.g. incomplete fusion, porosity, cracks, or inclusions, were identified using automated analysis tools or manual inspection. The xyz locations of the CT data were transferred into the layerwise image domain using an affine transformation, which was estimated using reference points embedded in the part. After the classifier had been properly trained, in situ defect detection accuracies greater than 80% were demonstrated during cross-validation experiments.",Additive manufacturing Powder bed fusion Process monitoring Machine learning Experimental validation
5,Automated Real-Time Detection and Prediction of Interlayer Imperfections in Additive Manufacturing Processes Using Artificial Intelligence,"Although fused deposition modeling (FDM) additive manufacturing technologies have advanced in the past decade, interlayer imperfections such as delamination and warping are still dominant when printing complex parts. Herein, a self-monitoring system based on real-time camera images and deep learning algorithms is developed to classify the various extents of delamination in a printed part. In addition, a novel method incorporating strain measurements is established to measure and predict the onset of warping. Results show that the machine-learning model is capable of detecting different levels of delamination conditions, and the strain measurements setup successfully reflects and determines the extent and tendency of warping before it actually occurs in the print job. This multifunctional system can be applied to assess other manufacturing processes to realize autocalibration and prediagnosis of imperfections without human interaction.",NONE
6,Convolutional Neural Network Based Object Detection for Additive Manufacturing,"Efficient object detection is important for automatic manufacturing systems applications. This work proposes the use of deep learning neural networks for vision-based additive manufactured object recognition. Three deep learning based object detection architectures (SSD300, SSD512 and Faster R-CNN) are applied for detection of parts manufactured on a 3D printer. The object detection information is used to feed a vision-based robotic grasping task, as part of a robotic assisted additive manufacturing system. Transfer learning is applied and a high detection efficiency is achieved for the considered dataset.",Robot kinematics Deep learning Object detection Computer architecture Printers Mobile robots
7,Real-time defect detection of laser additive manufacturing based on support vector machine,"Laser additive manufacturing is an advanced digital manufacturing technology used to build or repair metal parts layer by layer. However, monitoring and in-process defect diagnosis lag behind advances in other key technologies, which makes product quality control a challenging problem. In this paper, a novel real-time monitoring system is proposed to automatically detect defects using principal component analysis and support vector machine. A camera is used in the image acquisition system to capture molten pool image. Ten molten pool features were extracted and principal component analysis was used to reduce the dimensions of the feature set. Support vector machine is used to build a classifier to detect defects in the deposited layer. The experimental results show that the SVM method can achieve high defect detection rate when identifying both slag and bulge defects. The support vector machine has a more satisfactory performance than the RBF neural network method. It is proved that the support vector machine method can be used more accurately and more universally in the in-situ monitoring system of laser additive manufacturing for defect diagnosis.",NONE
8,Using Machine Learning to Analyze Image Data from Advanced Manufacturing Processes,"Additive manufacturing (AM) - also known as 3D printing - promises a new approach to creating parts in a manufacturing environment; the process allows more design freedom and the production of parts with more complex features, compared to traditional manufacturing processes. The laser powder bed fusion (L-PBF) printer operates by building a part layer by layer in an iterative process of spreading metal powder and melting the desired shape. One particular feature is an overhang (material being melted onto the part over loose un-melted parts). However, some of the un-melted powder from the process could become melted to the overhanging feature - which is known as dross. Overhangs tend to form dross, but the extent of dross created at these features is not fully understood. Due to this unpredictable nature of dross formation, the build process exhibits variability in build quality, deterring industry-wide adoption. The conducted research aims to develop a system that analyzes cross-sectional image data captured from each layer of the print in order to identify dross with a certain level of confidence. Using machine learning techniques, images are used in a model that identifies pixels as a region that contains dross. These images are first labeled with bounding boxes (a coordinate system that identifies features/objects as existing within its boundaries) to train a neural network. The result is an adaptive model that autonomously detects dross in image scans of the part, pointing out these impurities to the printers' users, especially in regions difficult to inspect like interior surfaces of parts. The model aims to further understand L-PBF processing by location regions of excessive dross to relate dross formation with specific design features.","3D printing, additive manufacturing, neural networks, quality assurance"
9,Distance-Based Multivariate Anomaly Detection in Wire Arc Additive Manufacturing,"Wire Arc Additive Manufacturing (WAAM) offers the possibility to build up large-scale metal parts. Data which is obtained from a multivariate sensor system in-situ must be analyzed automatically to ensure an early and reliable detection of defects to reduce the costs due to production scrap. For that reason, a modular anomaly detector for multivariate time series in WAAM was investigated in this paper. The approach adressed major topics in real-life data sets of industrial applications such as miscellaneous signal sample rates, lack of synchronization and concept drift. A reference data set based on an anomaly-dependently splitted time horizon was defined to reduce the sensitivity loss of the detector after an anomaly. To avoid the need for labeled data, an unsupervised anomaly detection method based on neural networks was used. Hence, no time and costs for artificial defect creation on the machine tool are required when implementing the approach in industrial applications.",Anomaly Detection Time Series Multivariate Additive Manufacturing Machine Learning
10,Detection of powder bed defects in selective laser sintering using convolutional neural network,"The presence of defects in a powder bed fusion (PBF) process can lead to the formation of flaws in consolidated parts. Powder bed defects (PBDs) have different sizes and shapes and occur in different locations in the built area. Those variations pose great challenges to their detection. In this study, a deep convolution neural network was applied to detect three typical types of PBDs in a selective laser sintering (SLS) process, namely warpage, part shifting, and short feed, which were intentionally generated by varying the process conditions. Images of the powder bed were captured using a digital camera, which were split into three single-channel images corresponding to the color channels in the color image. A deep residual neural network was then used to extract multiscale features, and a region proposal network was adopted to detect the object-level defect bounding box. In the final stage, a fully convolutional neural network was proposed to generate instance-level defect regions in the bounding box. Our results demonstrated that this method had higher accuracy and efficiency and was able to cope with geometrical distortion and image blurring, in comparison to the defect detection methods reported previously. Also, the detection system was cost-effective and could be easily installed outside the chamber of a PBF system. This study lays the groundwork for the development of a variety of automated technologies for additive manufacturing, such as real-time powder layer quality inspection and 3D quality certificate generation for finish parts.",Defect Powder bed fusion Detection Neural network Selective laser sintering
